hostname,ipaddress
NZH2C52-M01H-C-EG,10.42.63.18
NZH2C53-M01H-C-EG,10.42.63.26
NZH2C54-M01H-C-EG,10.42.63.34
NZH2C55-M01H-C-EG,10.42.63.42
NZH2CB41-M01H-C-EG,10.41.47.234
NZH2CB42-M01H-C-EG,10.41.48.66
NZH2CB43-M01H-C-EG,10.41.48.74
NZHA2C44-M01H-C-EG,10.41.48.82
NZHA2C45-M01H-C-EG,10.41.48.90
NZHA2C46-M01H-C-EG,10.41.48.98
NZH2C123-M01Z-C-EG,10.50.246.162
NZH2C56-M01H-C-EG,10.42.63.50
NZHA2R1-M01H-C-EG,10.40.148.26
NZHA2R1-M02H-C-EG,10.40.148.27
NZHA2R3-M01H-C-EG,10.40.148.34
NZHA2R8-M01H-C-EG,10.40.148.58
NZHA2R8-M02H-C-EG,10.40.148.59
NZHA2R9-M01H-C-EG,10.40.148.66
NZHA2R9-M02H-C-EG,10.40.148.67
HDRACB27-M01H-ALX-EG,10.40.106.226
SMOHAGHD-M01H-ALX-EG,10.40.16.2
SMOHAGHD-M02H-ALX-EG,10.40.16.3
HDGDCB-M01H-ALX-EG,10.40.16.26
HDGDCB-M02H-ALX-EG,10.40.16.27
ANTNDSHD-M01H-ALX-EG,10.40.16.10
ANTNDSHD-M02H-ALX-EG,10.40.16.11
HADRCB26-M01H-ALX-EG,10.40.16.162
HADRCB26-M02H-ALX-EG,10.40.16.163
HDRACB24-M01H-ALX-EG,10.40.16.170
HDRACB05-M01H-ALX-EG,10.40.16.42
HDRACB06-M01H-ALX-EG,10.40.16.50
HADRACB7-M01H-ALX-E,10.40.16.58
HADRACB7-M02H-ALX-EG,10.40.16.59
HDRC8-M01H-ALX-EG,10.40.16.66
HDRC8-M02H-ALX-EG,10.40.16.67
HDRC9-M01H-ALX-EG,10.40.16.74
HDRACB10-M01H-ALX-EG,10.40.16.82
HDRC11-M01H-ALX-EG,10.40.16.90
HDRC12-M01H-ALX-EG,10.40.16.98
HDRC13-M01H-ALX-EG,10.40.16.106
HDRACB14-M01H-ALX-EG,10.40.16.114
HDRC15-M01H-ALX-EG,10.40.16.122
HDRC16-M01H-ALX-EG,10.40.16.130
HDRC17-M01H-ALX-EG,10.40.16.138
HDRC18-M01H-ALX-EG,10.40.16.146
HDRC19-M01H-ALX-EG,10.40.16.154
HDRAC20-M01H-ALX-EG,10.40.67.138
